subject,cond,inc,house,reason,inc2,ses,split,context,tradeoff,,,,,,,,
1,0,3,4,2,35000,17500,0,0,1,,,,,,,,
2,1,4,1,0,45000,45000,1,1,0,,,,,,,,
3,0,2,1,0,25000,25000,0,1,0,,,,,,,,
4,1,4,3,0,45000,25980.76211,0,1,0,,,,,,,,
5,0,3,2,2,35000,24748.73734,0,0,1,,,,,,,,
6,1,3,1,2,35000,35000,1,0,1,,,,,,,,
7,0,9,3,0,95000,54848.27557,1,1,0,,,,,,,,
8,1,5,2,0,55000,38890.87297,1,1,0,,,,,,,,
9,0,0,4,2,5000,2500,0,0,1,,,,,,,,
10,1,6,2,3,65000,45961.94078,1,0,0,,,,,,,,
11,0,5,2,0,55000,38890.87297,1,1,0,,,,,,,,
12,1,2,2,0,25000,17677.66953,0,1,0,,,,,,,,
13,0,6,2,0,65000,45961.94078,1,1,0,,,,,,,,
14,1,3,2,3,35000,24748.73734,0,0,0,,,,,,,,
15,0,9,3,0,95000,54848.27557,1,1,0,,,,,,,,
16,1,4,4,0,45000,22500,0,1,0,,,,,,,,
17,0,1,1,2,15000,15000,0,0,1,,,,,,,,
18,1,7,5,3,75000,33541.01966,1,0,0,,,,,,,,
19,0,1,2,0,15000,10606.60172,0,1,0,,,,,,,,
20,1,9,3,2,95000,54848.27557,1,0,1,,,,,,,,
21,0,5,3,0,55000,31754.26481,1,1,0,,,,,,,,
22,1,3,4,0,35000,17500,0,1,0,,,,,,,,
23,0,4,5,2,45000,20124.6118,0,0,1,,,,,,,,
24,1,4,3,0,45000,25980.76211,0,1,0,,,,,,,,
25,0,4,5,0,45000,20124.6118,0,1,0,,,,,,,,
26,1,11,3,0,150000,86602.54038,1,1,0,,,,,,,,
27,0,6,1,0,65000,65000,1,1,0,,,,,,,,
28,1,8,2,0,85000,60104.0764,1,1,0,,,,,,,,
29,0,5,2,2,55000,38890.87297,1,0,1,,,,,,,,
30,1,9,4,4,95000,47500,1,0,0,,,,,,,,
31,0,6,5,0,65000,29068.88371,1,1,0,,,,,,,,
32,1,1,2,2,15000,10606.60172,0,0,1,,,,,,,,
33,0,3,6,0,35000,14288.69017,0,1,0,,,,,,,,
34,1,2,2,3,25000,17677.66953,0,0,0,,,,,,,,
35,0,2,2,1,25000,17677.66953,0,0,0,,,,,,,,
36,1,9,5,2,95000,42485.29157,1,0,1,,,,,,,,
37,0,6,3,4,65000,37527.7675,1,0,0,,,,,,,,
38,1,7,2,0,75000,53033.00859,1,1,0,,,,,,,,
39,0,3,1,0,35000,35000,1,1,0,,,,,,,,
40,1,2,1,0,25000,25000,0,1,0,,,,,,,,
41,0,10,5,2,125000,55901.69944,1,0,1,,,,,,,,
42,1,5,2,3,55000,38890.87297,1,0,0,,,,,,,,
44,1,5,2,0,55000,38890.87297,1,1,0,,,,,,,,
45,0,7,3,0,75000,43301.27019,1,1,0,,,,,,,,
46,1,3,2,2,35000,24748.73734,0,0,1,,,,,,,,
47,0,4,3,0,45000,25980.76211,0,1,0,,,,,,,,
48,1,4,3,0,45000,25980.76211,0,1,0,,,,,,,,
50,1,7,4,3,75000,37500,1,0,0,,,,,,,,
51,0,1,1,2,15000,15000,0,0,1,,,,,,,,
52,1,10,2,2,125000,88388.34765,1,0,1,,,,,,,,
53,0,2,1,2,25000,25000,0,0,1,,,,,,,,
54,1,3,2,2,35000,24748.73734,0,0,1,,,,,,,,
55,0,0,1,2,5000,5000,0,0,1,,,,,,,,
56,1,10,3,0,125000,72168.78365,1,1,0,,,,,,,,
57,0,0,3,2,5000,2886.751346,0,0,1,,,,,,,,
58,1,5,2,0,55000,38890.87297,1,1,0,,,,,,,,
59,0,7,3,0,75000,43301.27019,1,1,0,,,,,,,,
60,1,1,2,0,15000,10606.60172,0,1,0,,,,,,,,
61,0,6,3,2,65000,37527.7675,1,0,1,,,,,,,,
62,1,1,2,4,15000,10606.60172,0,0,0,,,,,,,,
63,1,2,1,0,25000,25000,0,1,0,,,,,,,,
64,0,7,3,2,75000,43301.27019,1,0,1,,,,,,,,
65,0,3,4,2,35000,17500,0,0,1,,,,,,,,
66,1,8,2,3,85000,60104.0764,1,0,0,,,,,,,,
67,0,5,2,2,55000,38890.87297,1,0,1,,,,,,,,
68,1,7,5,0,75000,33541.01966,1,1,0,,,,,,,,
69,0,2,2,4,25000,17677.66953,0,0,0,,,,,,,,
70,1,3,3,2,35000,20207.25942,0,0,1,,,,,,,,
71,0,4,3,1,45000,25980.76211,0,0,0,,,,,,,,
72,1,4,5,0,45000,20124.6118,0,1,0,,,,,,,,
73,0,7,4,3,75000,37500,1,0,0,,,,,,,,
74,1,4,4,2,45000,22500,0,0,1,,,,,,,,
75,0,8,2,0,85000,60104.0764,1,1,0,,,,,,,,
76,1,9,3,2,95000,54848.27557,1,0,1,,,,,,,,
77,0,6,3,0,65000,37527.7675,1,1,0,,,,,,,,
78,1,3,4,0,35000,17500,0,1,0,,,,,,,,
79,0,4,4,2,45000,22500,0,0,1,,,,,,,,
80,1,2,2,0,25000,17677.66953,0,1,0,,,,,,,,
81,0,0,1,0,5000,5000,0,1,0,,,,,,,,
82,1,2,1,0,25000,25000,0,1,0,,,,,,,,
83,0,2,1,0,25000,25000,0,1,0,,,,,,,,
85,0,0,1,2,5000,5000,0,0,1,,,,,,,,
86,1,3,2,2,35000,24748.73734,0,0,1,,,,,,,,
87,0,8,3,3,85000,49074.77288,1,0,0,,,,,,,,
88,1,3,4,0,35000,17500,0,1,0,,,,,,,,
89,0,3,2,0,35000,24748.73734,0,1,0,,,,,,,,
90,1,3,3,0,35000,20207.25942,0,1,0,,,,,,,,
91,0,5,4,2,55000,27500,1,0,1,,,,,,,,
92,1,2,1,0,25000,25000,0,1,0,,,,,,,,
93,0,3,4,1,35000,17500,0,0,0,,,,,,,,
94,1,3,1,0,35000,35000,1,1,0,,,,,,,,
95,0,0,3,4,5000,2886.751346,0,0,0,,,,,,,,
96,1,2,2,2,25000,17677.66953,0,0,1,,,,,,,,
97,0,2,2,0,25000,17677.66953,0,1,0,,,,,,,,
98,1,3,4,3,35000,17500,0,0,0,,,,,,,,
99,0,10,4,4,125000,62500,1,0,0,,,,,,,,
100,1,10,5,0,125000,55901.69944,1,1,0,,,,,,,,
102,1,0,3,0,5000,2886.751346,0,1,0,,,,,,,,
103,0,11,4,0,150000,75000,1,1,0,,,,,,,,
104,1,6,3,3,65000,37527.7675,1,0,0,,,,,,,,
105,0,5,2,2,55000,38890.87297,1,0,1,,,,,,,,
107,0,4,1,2,45000,45000,1,0,1,,,,,,,,
108,1,9,3,2,95000,54848.27557,1,0,1,,,,,,,,
109,0,2,1,0,25000,25000,0,1,0,,,,,,,,
110,1,8,4,0,85000,42500,1,1,0,,,,,,,,
111,0,6,3,0,65000,37527.7675,1,1,0,,,,,,,,
112,1,2,3,2,25000,14433.75673,0,0,1,,,,,,,,
113,0,6,3,0,65000,37527.7675,1,1,0,,,,,,,,
114,1,1,2,0,15000,10606.60172,0,1,0,,,,,,,,
115,0,5,6,3,55000,22453.65598,0,0,0,,,,,,,,
116,1,3,3,0,35000,20207.25942,0,1,0,,,,,,,,
117,0,5,2,2,55000,38890.87297,1,0,1,,,,,,,,
118,1,6,4,0,65000,32500,1,1,0,,,,,,,,
119,0,2,1,2,25000,25000,0,0,1,,,,,,,,
120,1,7,1,0,75000,75000,1,1,0,,,,,,,,
122,1,9,4,2,95000,47500,1,0,1,,,,,,,,
123,0,6,2,0,65000,45961.94078,1,1,0,,,,,,,,
124,1,10,4,2,125000,62500,1,0,1,,,,,,,,
125,0,1,3,2,15000,8660.254038,0,0,1,,,,,,,,
126,1,10,3,2,125000,72168.78365,1,0,1,,,,,,,,
127,0,8,3,3,85000,49074.77288,1,0,0,,,,,,,,
128,1,4,2,0,45000,31819.80515,1,1,0,,,,,,,,
129,0,3,4,2,35000,17500,0,0,1,,,,,,,,
130,1,5,1,1,55000,55000,1,0,0,,,,,,,,
131,0,3,3,0,35000,20207.25942,0,1,0,,,,,,,,
133,0,9,3,0,95000,54848.27557,1,1,0,,,,,,,,
134,1,11,4,4,150000,75000,1,0,0,,,,,,,,
135,0,6,3,0,65000,37527.7675,1,1,0,,,,,,,,
136,1,4,2,0,45000,31819.80515,1,1,0,,,,,,,,
137,0,5,3,0,55000,31754.26481,1,1,0,,,,,,,,
138,1,1,2,0,15000,10606.60172,0,1,0,,,,,,,,
139,0,11,2,0,150000,106066.0172,1,1,0,,,,,,,,
140,1,1,1,4,15000,15000,0,0,0,,,,,,,,
141,0,1,4,1,15000,7500,0,0,0,,,,,,,,
142,1,5,2,0,55000,38890.87297,1,1,0,,,,,,,,
143,0,4,2,0,45000,31819.80515,1,1,0,,,,,,,,
144,1,4,3,2,45000,25980.76211,0,0,1,,,,,,,,
145,0,0,1,0,5000,5000,0,1,0,,,,,,,,
146,1,6,2,2,65000,45961.94078,1,0,1,,,,,,,,
147,0,7,4,1,75000,37500,1,0,0,,,,,,,,
148,1,1,2,0,15000,10606.60172,0,1,0,,,,,,,,
149,0,5,3,2,55000,31754.26481,1,0,1,,,,,,,,
150,1,0,1,2,5000,5000,0,0,1,,,,,,,,
151,0,0,1,2,5000,5000,0,0,1,,,,,,,,
153,0,4,2,0,45000,31819.80515,1,1,0,,,,,,,,
154,1,3,4,3,35000,17500,0,0,0,,,,,,,,
155,0,0,1,2,5000,5000,0,0,1,,,,,,,,
156,1,2,3,3,25000,14433.75673,0,0,0,,,,,,,,
157,0,1,2,3,15000,10606.60172,0,0,0,,,,,,,,
158,1,8,2,0,85000,60104.0764,1,1,0,,,,,,,,
159,0,2,1,0,25000,25000,0,1,0,,,,,,,,
160,1,3,3,2,35000,20207.25942,0,0,1,,,,,,,,
162,1,8,4,0,85000,42500,1,1,0,,,,,,,,
163,0,3,1,1,35000,35000,1,0,0,,,,,,,,
164,1,6,3,3,65000,37527.7675,1,0,0,,,,,,,,
165,0,1,2,2,15000,10606.60172,0,0,1,,,,,,,,
166,1,10,5,3,125000,55901.69944,1,0,0,,,,,,,,
167,0,0,2,2,5000,3535.533906,0,0,1,,,,,,,,
168,1,4,4,2,45000,22500,0,0,1,,,,,,,,
169,0,5,2,2,55000,38890.87297,1,0,1,,,,,,,,
170,1,4,4,3,45000,22500,0,0,0,,,,,,,,
171,0,7,3,2,75000,43301.27019,1,0,1,,,,,,,,
172,1,8,2,0,85000,60104.0764,1,1,0,,,,,,,,
173,0,3,2,0,35000,24748.73734,0,1,0,,,,,,,,
174,1,1,1,2,15000,15000,0,0,1,,,,,,,,
175,0,4,3,2,45000,25980.76211,0,0,1,,,,,,,,
176,1,5,2,2,55000,38890.87297,1,0,1,,,,,,,,
177,0,2,2,3,25000,17677.66953,0,0,0,,,,,,,,
178,1,2,2,3,25000,17677.66953,0,0,0,,,,,,,,
179,0,8,2,0,85000,60104.0764,1,1,0,,,,,,,,
180,1,3,1,0,35000,35000,1,1,0,,,,,,,,
181,0,7,5,0,75000,33541.01966,1,1,0,,,,,,,,
182,1,1,2,0,15000,10606.60172,0,1,0,,,,,,,,
183,0,4,2,0,45000,31819.80515,1,1,0,,,,,,,,
184,1,0,2,2,5000,3535.533906,0,0,1,,,,,,,,
185,0,1,2,0,15000,10606.60172,0,1,0,,,,,,,,
186,1,3,2,2,35000,24748.73734,0,0,1,,,,,,,,
187,0,0,1,2,5000,5000,0,0,1,,,,,,,,
188,1,8,3,0,85000,49074.77288,1,1,0,,,,,,,,
189,0,5,5,2,55000,24596.74775,0,0,1,,,,,,,,
190,1,9,3,2,95000,54848.27557,1,0,1,,,,,,,,
191,0,2,2,4,25000,17677.66953,0,0,0,,,,,,,,
192,1,3,1,0,35000,35000,1,1,0,,,,,,,,
193,0,4,5,0,45000,20124.6118,0,1,0,,,,,,,,
194,1,3,2,3,35000,24748.73734,0,0,0,,,,,,,,
195,0,3,4,1,35000,17500,0,0,0,,,,,,,,
196,1,3,2,0,35000,24748.73734,0,1,0,,,,,,,,
197,0,3,6,0,35000,14288.69017,0,1,0,,,,,,,,
198,1,4,2,2,45000,31819.80515,1,0,1,,,,,,,,
199,0,1,2,2,15000,10606.60172,0,0,1,,,,,,,,
200,1,5,4,0,55000,27500,1,1,0,,,,,,,,
201,0,1,4,0,15000,7500,0,1,0,,,,,,,,
202,1,5,3,0,55000,31754.26481,1,1,0,,,,,,,,
203,0,11,6,3,150000,61237.24357,1,0,0,,,,,,,,
204,1,1,2,0,15000,10606.60172,0,1,0,,,,,,,,
205,0,4,1,0,45000,45000,1,1,0,,,,,,,,
206,1,1,2,0,15000,10606.60172,0,1,0,,,,,,,,
207,0,3,1,2,35000,35000,1,0,1,,,,,,,,
208,1,5,2,0,55000,38890.87297,1,1,0,,,,,,,,
209,0,5,2,0,55000,38890.87297,1,1,0,,,,,,,,
210,1,5,4,0,55000,27500,1,1,0,,,,,,,,
212,1,4,4,2,45000,22500,0,0,1,,,,,,,,
213,0,3,3,0,35000,20207.25942,0,1,0,,,,,,,,
214,1,7,7,0,75000,28347.33548,1,1,0,,,,,,,,
216,1,5,2,0,55000,38890.87297,1,1,0,,,,,,,,
217,0,0,1,0,5000,5000,0,1,0,,,,,,,,
218,1,0,1,2,5000,5000,0,0,1,,,,,,,,
220,1,3,3,0,35000,20207.25942,0,1,0,,,,,,,,
221,0,1,1,0,15000,15000,0,1,0,,,,,,,,
222,1,2,2,2,25000,17677.66953,0,0,1,,,,,,,,
223,0,2,4,2,25000,12500,0,0,1,,,,,,,,
224,1,6,3,0,65000,37527.7675,1,1,0,,,,,,,,
225,0,5,2,0,55000,38890.87297,1,1,0,,,,,,,,
227,0,5,1,2,55000,55000,1,0,1,,,,,,,,
228,1,8,3,0,85000,49074.77288,1,1,0,,,,,,,,
229,0,11,4,2,150000,75000,1,0,1,,,,,,,,
230,1,3,4,0,35000,17500,0,1,0,,,,,,,,
231,0,5,2,0,55000,38890.87297,1,1,0,,,,,,,,
232,1,2,5,3,25000,11180.33989,0,0,0,,,,,,,,
234,1,3,1,2,35000,35000,1,0,1,,,,,,,,
235,0,1,1,0,15000,15000,0,1,0,,,,,,,,
236,1,10,3,0,125000,72168.78365,1,1,0,,,,,,,,
237,0,9,5,2,95000,42485.29157,1,0,1,,,,,,,,
238,1,3,1,2,35000,35000,1,0,1,,,,,,,,
239,0,3,2,2,35000,24748.73734,0,0,1,,,,,,,,
240,1,3,1,2,35000,35000,1,0,1,,,,,,,,
241,0,2,2,0,25000,17677.66953,0,1,0,,,,,,,,
242,1,6,2,3,65000,45961.94078,1,0,0,,,,,,,,
243,0,11,4,0,150000,75000,1,1,0,,,,,,,,
245,0,1,4,4,15000,7500,0,0,0,,,,,,,,
247,0,2,3,2,25000,14433.75673,0,0,1,,,,,,,,
249,0,3,2,0,35000,24748.73734,0,1,0,,,,,,,,
250,1,1,3,2,15000,8660.254038,0,0,1,,,,,,,,
251,0,2,4,0,25000,12500,0,1,0,,,,,,,,
252,1,3,3,2,35000,20207.25942,0,0,1,,,,,,,,
253,0,3,3,2,35000,20207.25942,0,0,1,,,,,,,,
254,1,5,4,0,55000,27500,1,1,0,,,,,,,,
255,0,1,3,2,15000,8660.254038,0,0,1,,,,,,,,
