subject,cond,age,gender,eth,inc,house,edu
1,2,22,m,white,4,4,0
2,0,43,m,White,9,3,4
3,1,57,m,white,11,5,6
4,2,23,m,White,6,2,4
5,0,28,m,caucasian,10,2,4
6,1,21,m,caucasian,1,3,2
7,2,25,m,White,3,4,4
8,0,38,m,Caucasian,4,3,3
9,1,31,m,White,10,2,6
10,2,23,m,White,1,1,2
11,0,25,f,white,1,3,2
12,1,26,f,white,4,3,4
14,0,27,f,white,5,2,6
16,2,30,m,white,9,2,2
17,0,35,f,Black,10,1,4
18,1,50,f,Caucasian,6,3,2
19,2,22,m,Asian,1,2,4
20,0,29,f,white,7,1,6
21,1,28,f,white,1,4,1
22,2,22,f,Asian ,1,3,2
23,0,30,m,caucasion ,3,4,3
24,1,31,f,white,6,2,1
25,2,25,m,Caucasian,2,3,3
28,2,24,m,Latino,7,6,4
30,1,34,m,White,1,3,1
31,2,29,m,White,1,3,1
32,0,31,f,White,4,2,2
33,1,33,m,Caucasian,2,1,2
34,2,35,m,White,2,2,2
35,0,41,m,White,6,6,4
36,1,24,m,Asian,4,3,4
37,2,26,f,White,5,3,3
38,0,18,m,Caucasian ,8,4,2
39,1,28,m,white,5,3,6
40,2,23,f,white,2,2,1
41,0,25,m,Caucasian,3,3,2
42,1,30,m,White,2,1,6
43,2,24,f,white,0,2,2
44,0,32,m,white,9,3,4
45,1,29,f,Caucasian,7,2,3
47,0,30,m,asian,3,2,2
48,1,54,f,asian,4,2,4
49,2,34,m,Asian,8,3,2
50,0,31,m,Caucasian ,1,3,1
51,1,30,m,Asian,9,2,4
52,2,23,f,White,2,2,3
53,0,37,f,white,2,5,2
54,1,31,m,white,2,5,2
56,0,32,f,Caucasian,4,4,2
57,1,34,f,Caucasian,6,3,6
58,2,31,f,Caucasian,0,4,2
59,0,28,f,white,6,1,5
60,1,27,f,white,3,3,2
61,2,29,m,White,3,2,4
62,0,31,f,Caucasian,0,4,2
63,1,42,f,white,6,3,1
64,2,23,f,Caucasian,2,1,2
65,0,39,m,African American,9,2,4
66,1,38,m,white,2,2,3
67,2,24,m,White,2,1,4
68,0,22,m,Asian/Vietnamese,5,4,3
69,1,22,m,Black,4,5,3
70,2,25,m,White,1,2,4
71,0,23,m,black,3,2,4
72,1,33,f,White,9,4,2
74,0,44,f,white,6,4,2
75,1,29,m,Asian American,4,1,3
76,2,21,m,White,2,4,1
77,0,35,f,white,1,1,3
78,1,33,m,Caucasian,6,4,4
79,2,40,f,Caucasian,4,5,1
80,0,20,m,White,5,5,2
81,1,21,m,hispanic,4,3,2
82,2,24,m,Asian,7,3,4
83,0,22,f,caucasian,3,2,2
84,1,20,m,white,3,4,2
85,2,31,m,White,1,2,5
86,0,28,m,White,6,2,1
87,1,41,m,White,5,3,4
88,2,29,m,White,2,1,1
89,0,38,m,asian,7,4,4
92,0,21,m,White,5,1,2
95,0,23,m,white,0,1,1
96,1,22,f,WHITE,3,2,1
97,2,24,m,white,3,2,2
98,0,34,f,white,5,3,4
99,1,24,m,black,6,3,1
101,0,27,f,White,0,2,3
102,1,21,m,Caucasian,2,3,1
103,2,29,m,Asian,8,4,2
104,0,55,m,Caucasian,5,2,1
105,1,36,m,white,0,1,1
106,2,26,m,asian,2,1,4
107,2,21,f,Hispanic,4,4,2
109,1,27,m,White,8,3,4
110,2,34,m,Black,4,3,2
111,0,33,m,White,4,4,2
112,1,35,m,white,2,4,2
113,2,26,f,caucasian,8,2,4
114,0,30,m,White -non hispanic,3,4,2
115,1,46,m,white,2,1,1
116,2,31,m,White,3,1,1
117,0,28,f,Asian,3,1,6
118,1,43,m,white,2,1,4
119,2,31,m,White,1,3,2
120,0,29,f,White,5,2,4
121,1,19,m,White,4,2,1
122,2,36,f,white,1,2,3
123,0,39,f,black / african-american,10,3,2
124,1,43,f,white,5,3,1
125,2,26,m,W ,8,2,2
126,0,19,f,white,2,4,2
127,1,39,m,Caucasian,8,4,4
129,0,65,f,white,8,2,6
130,1,29,m,Asian/Chinese,5,1,4
131,2,49,f,white,10,4,6
132,0,35,m,white,8,4,6
133,1,23,m,Asian,5,1,4
134,2,34,m,White,6,4,4
135,0,24,f,white,6,4,3
136,1,37,m,White,5,1,3
138,0,32,m,caucasian,10,2,4
139,1,23,m,white,2,2,1
140,2,33,m,White,10,5,6
141,0,20,m,White,5,2,2
142,1,23,f,AFRICAN AMERICAN,0,3,2
143,2,34,f,white,2,2,2
144,0,46,f,White,11,4,6
145,1,27,f,White/American,9,4,1
146,2,24,m,asian,5,10,4
147,0,28,f,Black,0,2,2
148,1,49,f,African American,4,4,2
149,2,31,f,White,4,2,4
150,0,19,f,Hispanic,0,1,2
151,1,28,m,White,3,2,2
152,2,33,f,white,7,4,2
153,0,38,m,white,2,2,1
154,1,38,f,White Hispanic ,11,5,3
155,2,26,f,European American,5,2,4
156,0,43,m,white,5,1,4
157,1,28,m,white,7,2,6
158,2,55,f,white,4,2,2
159,0,33,m,White,4,5,5
160,1,56,m,caucasian,0,1,4
161,2,36,m,Caucassian,2,4,1
162,0,23,m,White,0,1,1
163,1,43,m,Caucasian,6,3,4
164,2,33,f,Hispanic,2,5,1
165,0,56,m,white,3,1,2
166,1,62,m,caucasian,3,1,3
167,2,44,m,Caucasian,9,4,6
168,0,18,f,white,3,3,1
169,1,26,m,Caucasian,0,2,1
170,2,23,m,White,7,1,4
171,0,24,f,mixed,0,1,4
172,1,29,m,Middle Eastern,6,3,5
173,2,32,m,Caucasian,4,1,4
174,0,45,f,White,9,3,3
175,1,24,f,White,4,3,3
176,2,28,f,White,5,2,6
177,0,23,m,white,7,1,4
178,1,23,f,White,6,2,4
179,2,38,f,White,10,4,6
180,0,18,m,white,8,4,2
181,1,23,m,Asian,5,3,4
182,2,25,m,black,1,1,6
183,0,63,f,White,4,4,1
184,1,20,m,white,0,1,3
185,2,32,m,East Indian,3,1,6
186,0,31,m,Hispanic,3,1,5
187,1,21,f,Black,4,4,2
188,2,35,f,White,4,3,2
189,0,23,f,Asian/Mixed,1,1,4
190,1,25,f,Caucasion,0,2,3
191,2,28,m,white,3,2,5
192,0,23,f,white,0,1,2
193,1,30,m,white,3,4,1
194,2,38,m,Caucasian,2,2,1
195,0,25,m,White,1,2,2
196,1,26,f,Asian,5,3,4
197,2,50,m,White,8,2,2
198,0,19,m,white,0,2,2
199,1,42,m,White,3,4,2
200,2,34,f,black,0,1,1
201,0,21,f,Caucasian,2,4,2
202,1,40,m,White,4,3,2
203,2,22,f,White,2,2,4
204,0,26,f,Italian,7,3,4
205,1,27,m,white,2,1,1
206,2,23,m,Caucasian,1,4,4
207,0,32,f,White,7,3,4
208,1,23,f,white,2,5,1
209,2,33,f,white,4,2,2
210,0,36,f,Caucasian,3,2,2
211,1,21,m,White,3,2,1
212,2,27,m,White,1,3,2
213,0,23,m,White,7,3,4
214,1,30,f,white,1,1,4
215,2,23,f,Caucasian,4,2,2
216,0,26,f,white,2,1,2
217,1,35,m,white,6,5,4
218,2,44,m,white,3,4,3
219,0,23,m,Caucasian,1,1,2
220,1,21,m,Asian,7,7,2
221,2,41,f,white,0,1,5
222,0,26,m,"Caucasian, not latino",5,2,4
223,1,53,m,white,4,3,6
224,2,27,f,white,2,7,2
225,0,37,m,anglo,1,2,2
226,1,42,m,Native American,4,3,2
227,2,33,m,white,10,4,4
228,0,22,f,white,3,2,4
229,1,24,f,Caucasian,5,2,3
231,0,28,f,White,2,2,2
232,1,21,m,asian,0,3,2
233,2,57,f,AfricanAmerican,1,1,2
234,0,33,f,Asian,9,2,6
235,1,30,f,white,2,1,1
236,2,30,m,White,10,2,4
237,0,36,m,White,3,3,1
238,1,36,m,White/Caucasian,4,4,2
240,0,48,f,Black,7,5,4
242,2,28,m,black,2,4,1
243,0,43,f,white,5,4,3
244,1,20,f,white,3,1,3
245,2,29,m,White,4,3,4
246,0,36,m,White,2,2,4
248,2,36,m,White/Caucasian,5,3,4
249,0,29,m,Asian,4,4,4
250,1,49,f,white,8,4,1
251,2,28,f,white,4,4,1
252,0,52,f,White,5,6,1
253,1,31,m,hispanic,5,4,4
254,2,29,f,Hispanic,6,4,2
255,0,20,f,Caucasian ,2,2,5
256,1,34,f,white,4,1,6
257,2,30,m,White,5,2,2
258,0,44,m,Native American,6,1,6
259,1,40,m,caucasian,9,2,6
260,2,18,m,White/Caucasian,0,1,2
261,0,39,f,caucasian,0,2,2
262,1,34,f,Caucasian,7,5,3
263,2,30,m,Caucasian,1,2,6
264,0,33,f,hispanic,7,3,2
265,1,22,m,asian,5,4,2
266,2,29,m,White,5,4,4
267,0,35,f,White,5,2,1
268,1,37,f,white,2,4,1
269,2,20,m,Caucasian,2,4,1
272,2,50,f,white ,5,3,3
273,0,43,f,white,2,5,1
274,1,56,f,White,1,1,4
275,2,30,f,caucasian,6,2,5
276,0,33,f,African American,6,5,3
277,1,37,m,asian,4,2,4
278,2,42,f,caucasian,6,4,2
279,0,18,m,caucasian,11,5,2
280,1,25,m,White,5,1,4
281,2,24,m,Asian Hmong,0,9,2
282,0,23,f,Caucasian,1,2,2
283,1,41,f,White,3,1,6
284,2,31,m,asian,4,3,2
285,0,27,m,Asian,3,1,6
286,1,20,m,Hispanic,3,3,2
287,2,29,m,white,1,2,2
288,0,36,m,African American,9,3,5
289,1,38,m,Caucasian/American,7,1,4
290,2,20,f,white,5,3,2
291,0,49,f,white,10,4,4
292,1,31,m,caucasian,8,2,4
293,2,30,m,white,3,2,2
294,0,29,f,caucasian,0,2,2
295,1,25,f,american/white,2,3,2
296,2,40,m,White,10,4,4
297,0,18,m,white,2,2,2
298,1,64,m,white,4,5,4
299,2,27,m,white,5,5,2
300,0,24,m,White,6,2,5
301,1,24,m,Caucasian,10,4,3
302,2,29,m,Hispanic,2,4,3
303,0,28,f,WHITE,9,4,2
304,1,21,f,White,0,1,2
305,2,23,m,White,3,2,1
306,0,29,m,Caucasian,5,3,6
307,1,22,f,white,4,3,1
308,2,28,f,White,3,5,2
309,0,57,f,white,0,1,2
310,1,39,f,White,4,4,2
312,0,44,m,Hispanic,1,2,4
313,1,35,m,white,10,2,4
314,2,29,f,white,3,5,2
315,0,44,m,HIspanicv,1,2,4
316,1,32,m,white,8,4,4
317,2,19,f,Native American,5,4,2
318,0,24,f,white,3,2,0
319,1,22,f,White,3,2,4
320,2,22,f,white,10,3,2
321,0,34,m,White,5,3,1
322,1,33,f,white,3,6,2
323,2,24,f,White,3,3,4
324,0,36,f,asian,6,5,4
325,1,18,f,chinese,2,2,2
326,2,24,f,White,7,4,2
327,0,26,m,White ,3,1,6
329,2,44,f,caucasian,4,1,4
330,0,24,m,white,1,3,1
331,1,31,f,caucasian,4,1,1
332,2,28,f,european american,1,1,6
333,0,25,m,Caucasian,3,4,2
334,1,41,m,white,10,6,4
335,2,29,f,black,3,1,4
336,0,64,f,White,4,4,1
337,1,31,f,White,2,1,2
338,2,28,f,Caucasian,7,3,6
339,0,23,m,Caucasian,10,4,2
340,1,51,f,white,7,3,3
341,2,44,m,white,10,2,4
342,0,31,f,white,0,5,1
344,2,38,f,white,7,3,2
346,1,23,m,Japanese,11,3,6
347,2,24,f,mixed,8,4,2
348,0,29,f,white,5,2,1
349,1,65,m,white,5,2,1
350,2,34,f,White,5,3,2
351,0,21,f,White/Caucasion,3,2,2
352,1,32,m,white,3,2,3
353,2,32,m,white,11,3,4
354,0,23,m,Caucasian,3,4,2
355,1,21,m,White,5,2,2
356,2,26,m,Caucasian,3,1,6
357,0,22,m,Black,2,2,2
358,1,38,m,caucasian,4,1,2
359,2,55,m,caucasian,7,3,2
360,0,22,m,Asian/Vietnamese,4,4,3
361,1,29,m,Caucasian,3,3,5
362,2,26,f,white,3,4,1
363,0,27,m,White,8,3,4
364,1,25,f,white,1,3,2
365,2,38,m,White,5,1,2
366,0,21,m,hispanic,3,3,2
367,1,22,f,Chinese,5,4,4
368,2,24,m,Hispanic,8,1,5
369,0,36,f,Caucasian,9,2,4
370,1,28,f,white,4,4,3
371,2,29,f,white,1,1,1
372,0,22,m,White,3,6,1
373,1,25,m,caucasian,4,3,1
375,0,23,m,white,2,3,4
376,1,32,m,white,4,1,4
377,2,28,m,White,6,2,1
378,0,40,f,asian,9,4,4
379,1,26,f,White,5,5,4
380,2,50,f,White,5,2,2
381,0,24,m,Caucasian,2,1,1
383,2,22,m,White,0,1,1
384,0,26,m,Hispanic,4,3,3
385,1,30,m,caucasian,3,3,4
386,2,34,m,White,4,2,3
387,0,26,m,Caucasian,3,2,4
388,1,25,m,Caucasian,0,2,3
389,2,25,m,White,7,2,1
390,0,22,m,Asian,2,1,4
391,1,44,m,White,2,2,2
392,2,33,f,caucasian/Western European,2,3,4
393,0,31,f,Caucasian,3,1,2
394,1,31,m,hispanic,7,2,2
395,2,23,f,white,2,3,2
396,0,56,m,White,8,2,4
397,1,29,f,white,3,4,2
398,2,24,f,hispanic,3,3,2
399,0,60,f,white,3,6,2
400,1,31,m,Caucasian,2,3,2
401,2,21,m,White,0,3,2
403,1,24,m,White,9,4,3
404,2,23,f,White,2,2,3
405,0,25,f,Latino,4,3,2
406,1,23,m,white,1,2,5
407,2,30,f,generic,0,1,2
408,0,25,m,White,6,2,1
411,0,35,m,European American,6,4,2
412,1,27,f,white,0,4,1
413,2,19,f,Black,11,4,3
414,0,26,m,black,3,3,3
415,1,42,m,Caucasian,10,4,2
416,2,22,f,Hispanic,10,5,2
417,0,23,m,Asian,5,1,4
419,2,25,m,Caucasian,3,2,4
420,0,33,f,white,6,6,2
421,1,20,m,Caucasian,2,4,1
422,2,26,f,caucasian,2,3,2
423,0,23,f,White,0,1,2
424,1,31,f,White,7,4,3
425,2,27,m,white,3,4,4
426,0,25,m,White,3,2,3
427,1,26,m,White,7,2,4
428,2,28,f,black,2,1,2
429,0,46,f,African American,1,6,2
430,1,42,f,White,4,2,2
431,2,26,m,hispanic,5,5,4
432,0,28,m,Hispanic,5,3,3
433,1,27,m,White,2,5,2
437,0,46,m,White,11,3,5
438,1,24,m,White,4,1,4
439,2,35,f,Caucasian,9,4,4
441,1,27,m,White,2,2,6
442,2,37,m,white,8,5,3
443,0,48,m,caucasian,10,3,4
444,1,34,m,white,10,2,2
445,2,36,m,white,4,1,4
446,0,26,f,White,5,2,4
447,1,30,f,Hispanic,6,4,3
448,2,55,f,white,5,3,4
449,0,23,m,Caucasian,3,3,2
450,1,33,m,white,3,4,1
451,2,29,m,White,0,1,3
452,0,25,f,African American,7,5,4
453,1,27,f,White,2,1,4
454,2,35,f,white,8,3,4
455,0,45,m,white,0,1,1
456,1,27,f,Caucasian,4,2,4
457,2,44,f,Caucasian,10,2,4
458,0,21,f,caucasian,4,2,3
459,1,46,m,Caucasian,7,4,6
460,2,23,m,White,0,1,1
461,0,28,f,White,2,3,2
462,1,18,f,African American,10,6,2
463,2,28,f,caucasian,6,3,3
464,0,36,f,White,7,4,4
465,1,27,m,white,10,2,4
466,2,25,m,mixed,6,4,2
467,0,23,m,White,1,3,3
468,1,21,m,Caucasian,1,3,2
469,2,59,f,white,1,1,3
470,0,29,m,White,9,2,6
471,1,25,f,Hispanic,2,2,4
472,2,21,f,black,3,3,2
473,0,33,f,White,6,4,2
474,1,25,f,white,5,2,4
476,0,38,m,asian,7,4,4
478,2,55,f,white,4,2,2
479,0,25,f,white,5,1,4
480,1,19,m,Asian,2,3,2
481,2,29,f,white,2,3,2
482,0,23,m,Asian,5,3,4
483,1,24,m,Hispanic,5,2,2
484,2,20,f,White,10,4,2
485,0,18,m,Asian,5,4,2
486,1,23,m,Caucasian,0,2,4
487,2,24,m,Caucasian,7,4,3
488,0,21,f,white,5,3,2
489,1,38,f,White,4,3,3
490,2,29,m,caucasian,3,4,4
491,0,54,f,White,2,3,4
492,1,24,m,white,2,2,1
493,2,25,m,White,2,2,3
494,0,26,f,asian,5,2,4
495,1,31,f,White,5,4,4
496,2,27,m,Hispanic,2,9,4
497,0,19,f,White,2,4,2
498,1,22,f,black,2,6,2
499,2,38,m,Caucasian,2,4,2
500,0,42,m,White,2,1,4
501,1,27,m,White,4,2,2
502,2,29,m,white,2,1,2
503,0,40,m,Asian,1,1,4
504,1,28,m,white,11,3,6
505,2,38,m,white,7,4,4
506,0,19,m,Chinese,4,4,2
507,1,31,m,White,5,2,4
508,2,31,m,White,4,3,4
509,0,32,m,white,2,4,2
510,1,22,f,white,2,3,1
511,2,27,m,White,8,2,4
512,0,29,f,White,7,3,4
513,1,28,f,Southeast Asian,2,3,4
514,2,21,m,White,11,3,2
515,0,55,f,white,11,4,4
516,1,35,f,white,1,3,1
517,2,27,m,Caucasian,7,2,4
518,0,32,f,caucasian,7,3,4
519,1,30,f,Caucasian,6,5,3
520,2,23,f,White,6,2,4
521,0,25,m,Asian,6,4,4
522,1,33,m,white,3,1,6
523,2,22,m,asian,1,4,2
524,0,27,m,White,10,3,5
525,1,29,f,White,5,3,2
526,2,29,m,Asian,2,1,6
527,0,24,m,Caucasian,0,1,4
528,1,27,m,Caucasian,6,2,4
529,2,29,f,black,5,3,4
530,0,26,m,white,9,2,2
531,1,29,m,Asian,9,2,4
532,2,36,f,white,7,4,6
533,0,20,m,White,3,4,2
534,1,24,m,caucasian,9,2,4
535,2,26,m,white,1,5,2
536,0,21,m,white,6,4,1
537,1,43,m,white,2,1,4
538,2,51,m,Asian,6,3,6
539,0,24,f,White,5,2,1
541,2,26,m,White,5,1,4
542,0,24,m,Caucasian,7,3,4
543,1,27,m,white,0,2,4
544,2,22,f,caucasian,1,2,3
545,0,21,m,White,1,2,2
546,1,21,m,white,0,2,2
547,2,25,f,Asian,6,2,4
548,0,39,f,white,2,2,4
549,1,28,m,White,1,2,4
550,2,21,f,white,3,1,1
551,0,29,m,Hispanic,10,2,4
552,1,35,f,white,10,3,6
553,2,25,m,White,9,3,2
554,0,31,m,black,3,2,2
555,1,24,m,White,4,2,3
556,2,25,m,Hispanic,4,2,2
557,0,28,f,Caucasian,4,1,2
558,1,37,m,Caucasian,10,2,4
559,2,29,f,White,1,3,3
560,0,20,f,White,0,3,2
561,1,54,f,white,2,2,1
562,2,23,m,Caucasian,6,4,4
563,0,25,f,caucasian,3,3,4
564,1,30,f,Caucasian,0,1,2
565,2,23,f,Caucasian,1,4,4
566,0,27,m,White,2,1,2
567,1,26,m,White,3,2,4
568,2,42,m,white,7,2,5
569,0,25,f,black,4,4,2
570,1,28,m,White,1,4,4
571,2,22,f,Caucasian,0,3,2
572,0,48,f,white,1,2,2
573,1,27,m,White,1,1,4
574,2,25,m,White,6,1,4
575,0,18,m,White,9,5,2
576,1,19,f,white,9,5,2
577,2,21,m,Caucasian,11,7,2
578,0,20,f,White,10,4,2
579,1,23,f,White,1,1,5
580,2,23,m,Caucasion,2,3,1
581,0,25,f,white,2,4,4
582,1,42,m,caucasian,0,1,4
583,2,26,f,White,2,1,5
584,0,32,m,white,4,2,4
585,1,23,m,mexican,1,1,2
586,2,48,f,caucasian,4,2,4
588,1,24,m,White,4,1,4
589,2,26,m,White,1,2,4
590,0,24,f,white,3,1,4
591,1,33,m,caucasian,1,4,1
592,2,42,m,White,8,3,2
593,0,38,f,Caucasian,10,4,6
594,1,26,f,white,7,5,2
595,2,25,m,caucasian,3,2,4
596,0,21,f,Native American,2,2,2
597,1,27,f,Caucasian,2,5,3
598,2,37,f,White,10,4,3
599,0,59,f,African American,4,1,6
600,1,31,m,White,6,4,6
601,2,22,m,Asian,1,1,2
602,0,23,m,White,10,2,3
603,1,24,m,Caucasian,4,1,4
604,2,18,m,White,0,4,1
605,0,35,f,caucasian,4,4,3
606,1,24,m,White,3,1,6
607,2,27,m,Caucasian,3,3,3
608,0,32,f,White,2,2,4
610,2,19,m,caucasian,0,3,2
611,0,27,m,White,7,2,0
612,1,34,f,White,6,1,6
613,2,27,m,White,2,2,5
614,0,21,f,White,6,4,3
615,1,24,m,White,5,2,4
616,2,18,m,white,8,5,2
617,0,20,m,American,1,2,2
618,1,26,m,White,7,1,4
619,2,23,m,White,7,5,3
620,0,23,m,White,1,1,6
621,1,31,m,Asian,8,3,5
622,2,27,f,white,2,2,1
623,0,30,f,Caucasian,3,2,4
624,1,61,m,WHITE,5,4,6
625,2,19,m,white,0,4,2
626,0,28,m,White,7,2,5
627,1,35,f,Asian,6,3,4
628,2,21,m,White,3,2,1
629,0,22,m,White,11,4,2
630,1,29,m,White,4,1,3
631,2,18,m,white,7,4,2
632,0,25,m,Caucasian,0,1,5
633,1,25,m,White,10,5,3
634,2,22,m,Asian/Filipino,10,3,4
635,0,20,m,white,2,6,1
636,1,22,f,White,1,1,4
637,2,22,m,Asian,5,8,4
638,0,23,m,white,9,4,4
639,1,21,f,white,1,3,3
640,2,21,m,Caucasian,3,3,3
641,0,30,m,White,2,2,4
642,1,27,m,caucasian,3,2,4
643,2,24,f,White,5,2,3
644,0,28,f,Black,1,3,2
645,1,30,m,White,2,2,0
646,2,37,m,white,4,2,4
647,0,23,f,white,5,7,4
648,1,23,m,caucasian,4,4,4
649,2,30,m,wHITE,7,3,4
650,0,22,f,White,6,4,4
651,1,25,m,Middle Eastern,2,2,2
652,2,30,m,White,9,5,2
653,0,21,m,White,11,5,2
654,1,18,m,Caucasian,5,3,2
655,2,20,m,Caucasian,9,4,2
656,0,31,f,White,8,1,6
657,1,33,m,Asian/Pacific Islander,1,1,6
660,1,20,m,White,2,2,2
661,2,55,m,caucasian,7,4,2
662,0,31,m,white,5,2,2
663,1,23,f,White,0,2,2
664,2,35,m,white,7,2,4
665,0,22,m,White,2,2,4
666,1,25,f,white,0,3,2
667,2,20,m,Hispanic,2,3,2
668,0,20,m,White,7,2,2
669,1,21,m,hispanic,1,4,4
670,2,25,f,white,9,3,5
671,0,22,m,Asian,4,1,2
673,2,67,f,American,4,2,4
674,0,24,m,White,5,2,4
675,1,25,m,Asian/Japanese,7,3,2
676,2,35,f,mixed,0,1,4
677,0,20,m,White,4,4,2
678,1,44,f,white,5,3,6
679,2,22,m,asian,4,4,2
680,0,21,m,Caucasian,5,7,2
681,1,22,m,White,1,2,2
682,2,21,m,White,1,1,2
683,0,33,f,white,4,5,2
684,1,23,f,Caucasian,3,1,3
685,2,21,m,Asian,0,1,2
686,0,36,f,W,5,2,6
687,1,34,m,caucasian,4,2,3
688,2,25,f,African American,4,2,4
689,0,18,m,White,2,4,1
690,1,24,m,Caucasian,4,5,1
691,2,21,m,White,6,4,4
692,0,20,f,Chinese,10,3,4
693,1,38,m,Caucasian,3,2,2
694,2,22,m,White/Caucasian,4,2,2
695,0,33,m,white/caucasion,7,3,3
696,1,23,m,white,0,2,2
697,2,24,m,Caucasian,4,1,4
699,1,21,m,White,4,2,2
700,2,22,m,White of Hispanic origin ,2,1,4
701,0,40,m,White,7,3,3
702,1,21,m,White Asian,1,4,1
703,2,31,m,White American,2,6,2
704,0,26,m,white,8,4,2
705,1,52,f,White,11,2,2
706,2,26,f,White,5,2,4
707,0,61,f,White,1,3,2
708,1,23,f,white,1,1,4
709,2,32,f,female,2,1,2
710,0,22,m,Caucasian,4,1,2
711,1,26,m,Black,7,2,6
712,2,49,m,White,1,2,2
713,0,30,f,Caucasian,6,3,4
714,1,24,f,Caucasian ,5,2,2
715,2,67,f,white non hispanic,8,1,6
716,0,21,m,White,1,1,2
717,1,24,m,Hispanic,4,3,4
718,2,23,m,Indian,10,4,4
719,0,23,m,White ,2,1,6
720,1,53,f,White,1,2,1
721,2,26,m,white,6,2,4
722,0,57,f,white,11,2,1
723,1,24,m,White,3,1,2
724,2,27,f,White,1,1,6
725,0,26,f,Hispanic,3,2,4
726,1,17,f,White,7,1,4
727,2,28,f,white,0,1,6
728,0,21,m,Vietnamese,4,3,3
729,1,23,m,White,7,5,4
730,2,18,m,White,7,3,1
731,0,23,m,White,11,3,4
732,1,25,m,White,4,4,0
733,2,26,m,African-American,3,2,4
734,0,32,f,Caucasin,6,4,3
735,1,23,m,White,2,2,2
736,2,28,m,caucasian,2,1,2
737,0,39,m,white,3,4,4
738,1,21,m,Caucasian,1,1,2
739,2,18,f,asian,2,5,1
740,0,31,m,White,4,1,2
741,1,30,f,white,5,2,3
742,2,52,f,White/Causasian,5,4,6
743,0,26,f,Korean,0,1,2
744,1,25,m,white,2,3,1
745,2,24,f,white,2,2,4
746,0,31,m,Caucasian,3,3,2
747,1,18,f,White,6,3,0
748,2,25,m,caucasian,9,4,1
749,0,22,m,White,1,1,2
750,1,29,m,Black,1,3,3
